Cluster,Step,Reward,Latency_P90,Latency_Avg,Replicas,CPU_Pct,RAM_Pct,Requests,Total_CPU,Total_RAM,Success,HPA_Target,Throughput,Enhancement,Forecast
C2,94,0.758951238880883,18.700000000000003,17.6,1,2.4,16.40625,18.0,6.0,21.0,1.0,50,1.0,2,0.0
C2,95,0.7573373474871592,19.099999999999998,17.7,1,2.0,16.40625,16.0,5.0,21.0,1.0,50,1.0,2,0.0
C2,96,0.6496375826206231,33.4,27.5,1,4.4,16.40625,20.0,11.0,21.0,1.0,50,2.0,0,0.0
C2,97,0.768857770442213,18.0,17.7,1,4.8,16.40625,14.0,12.0,21.0,1.0,50,3.0,1,0.0
C2,98,0.7573373474871592,18.1,17.7,1,2.0,16.40625,14.0,5.0,21.0,1.0,50,1.0,0,0.0
C2,99,0.49257686202316864,50.0,17.7,1,1.6,16.40625,4.0,4.0,21.0,1.0,50,2.0,2,0.0
C2,100,0.4909858056206518,50.0,17.8,1,1.2,16.40625,4.0,3.0,21.0,1.0,50,2.0,1,0.0
C2,101,0.7739421805817983,18.1,17.7,1,6.0,16.40625,16.0,15.0,21.0,1.0,50,3.0,1,0.0
C2,102,0.7557347567600108,17.8,17.5,1,1.6,16.40625,5.0,4.0,21.0,1.0,50,2.0,2,0.0
C2,103,0.7573373474871592,18.2,17.8,1,2.0,16.40625,4.0,5.0,21.0,1.0,50,3.0,0,0.0
C2,104,0.4878391920465357,50.0,17.4,1,0.4,16.40625,2.0,1.0,21.0,1.0,50,1.0,0,0.0
C2,105,0.7573373474871592,17.6,17.4,1,2.0,16.40625,4.0,5.0,21.0,1.0,50,3.0,0,0.0
C2,106,0.7655148417576507,17.7,17.5,1,4.0,16.40625,18.0,10.0,21.0,1.0,50,2.0,0,0.0
C2,107,0.763858250896098,17.9,17.6,1,3.6,16.40625,12.0,9.0,21.0,1.0,50,2.0,2,0.0
C2,108,0.4894065094559651,50.0,17.2,1,0.8,16.40625,2.0,2.0,21.0,1.0,50,2.0,1,0.0
C2,109,0.4909858056206518,50.0,17.9,1,1.2,16.40625,7.0,3.0,21.0,1.0,50,1.0,2,0.0
C2,110,0.4894065094559651,50.0,18.1,1,0.8,16.40625,1.0,2.0,21.0,1.0,50,2.0,0,0.0
C2,111,0.7622119447177791,18.1,17.6,1,3.2,16.40625,14.0,8.0,21.0,1.0,50,2.0,2,0.0
C2,112,0.7541437003574938,17.8,17.5,1,1.2,16.40625,6.0,3.0,21.0,1.0,50,2.0,2,0.0
C2,113,0.4909858056206518,50.0,17.5,1,1.2,16.40625,3.0,3.0,21.0,1.0,50,3.0,1,0.0
C2,114,0.4878391920465357,50.0,17.5,1,0.4,16.40625,2.0,1.0,21.0,1.0,50,1.0,0,0.0
C2,115,0.758951238880883,17.8,17.5,1,2.4,16.40625,6.0,6.0,21.0,1.0,50,3.0,2,0.0
C2,116,0.7671814422697458,17.6,17.4,1,4.4,16.40625,12.0,11.0,21.0,1.0,50,3.0,0,0.0
C2,117,0.4909858056206518,50.0,17.6,1,1.2,16.40625,4.0,3.0,21.0,1.0,50,1.0,2,0.0
C2,118,0.4909858056206518,50.0,17.7,1,1.2,16.40625,4.0,3.0,21.0,1.0,50,2.0,0,0.0
C2,119,0.4878391920465357,50.0,17.8,1,0.4,16.40625,2.0,1.0,21.0,1.0,50,1.0,1,0.0
C2,120,0.4894065094559651,50.0,17.5,1,0.8,16.40625,3.0,2.0,21.0,1.0,50,1.0,0,0.0
C2,121,0.6566551264802722,32.599999999999994,26.599999999999998,1,4.4,16.40625,21.0,11.0,21.0,1.0,50,2.0,1,0.0
C2,122,0.758951238880883,18.0,17.5,1,2.4,16.40625,8.0,6.0,21.0,1.0,50,2.0,1,0.0
C2,123,0.49257686202316864,50.0,17.5,1,1.6,16.40625,8.0,4.0,21.0,1.0,50,1.0,2,0.0
C2,124,0.7557347567600108,17.8,17.5,1,1.6,16.40625,5.0,4.0,21.0,1.0,50,2.0,0,0.0
C2,125,0.7573373474871592,18.0,17.6,1,2.0,16.40625,10.0,5.0,21.0,1.0,50,2.0,2,0.0
C2,126,0.7622119447177791,18.0,17.6,1,3.2,16.40625,13.0,8.0,21.0,1.0,50,2.0,2,0.0
C2,127,0.7541437003574938,19.0,17.7,1,1.2,16.40625,11.0,3.0,21.0,1.0,50,1.0,0,0.0
C2,128,0.758951238880883,18.2,17.7,1,2.4,16.40625,9.0,6.0,21.0,1.0,50,2.0,1,0.0
C2,129,0.7573373474871592,18.1,17.5,1,2.0,16.40625,12.0,5.0,21.0,1.0,50,1.0,0,0.0
C2,130,0.7622119447177791,18.2,17.7,1,3.2,16.40625,10.0,8.0,21.0,1.0,50,3.0,1,0.0
C2,131,0.7605761873560926,18.3,17.8,1,2.8,16.40625,18.0,7.0,21.0,1.0,50,1.0,1,0.0
C2,132,0.7541437003574938,18.1,17.7,1,1.2,16.40625,11.0,3.0,21.0,1.0,50,1.0,0,0.0
C2,133,0.763858250896098,18.0,17.6,1,3.6,16.40625,13.0,9.0,21.0,1.0,50,2.0,1,0.0
